Family,Score
"""MEDICI""",0.4307097412031079
"""STROZZI""",0.3559332404685025
"""RIDOLFI""",0.34150498753314684
"""TORNABUON""",0.3257374348387385
"""GUADAGNI""",0.28934454533348214
"""BISCHERI""",0.28262430854385345
"""PERUZZI""",0.2756342191280263
"""CASTELLAN""",0.2589664820573296
"""ALBIZZI""",0.2437947783884951
"""BARBADORI""",0.21159074581783716
"""SALVIATI""",0.14583490854508677
"""ACCIAIUOL""",0.132081757871408
"""LAMBERTES""",0.08872335251583341
"""GINORI""",0.07502876129416193
"""PAZZI""",0.04488195203448206
"""PUCCI""",6.0981257824218634e-148
