Family,Score
"""MEDICI""",2.1000711258721774
"""GUADAGNI""",1.4179036405883665
"""STROZZI""",1.263421885225126
"""ALBIZZI""",1.1431308396753577
"""TORNABUON""",1.0255401936046913
"""RIDOLFI""",1.0000026774688247
"""CASTELLAN""",0.9964169820488687
"""BISCHERI""",0.9893565389741938
"""PERUZZI""",0.9746000987149815
"""SALVIATI""",0.8903515262264277
"""BARBADORI""",0.7254291287843959
"""PAZZI""",0.5262545817628642
"""GINORI""",0.4717467838023632
"""LAMBERTES""",0.4490910075867306
"""ACCIAIUOL""",0.4452900233969174
"""PUCCI""",0.15000000000000002
