Route_No,Comments_1,Shape_Leng,cdo,twoway,sruface_ch,bollardpro,temporary,mandatory,width,surface_ch,buslane,OBJECTID,datasource,classifica,classifi_1,cyclelane,shareduse,segregated,trafficfre,signedrout,oneside,twoway_sin,oneplus,review,difference,gid,MERGE_SRC,Shape_Le_1
1-1,,172.52212826600,SegregatedCycleLane,"0","0","1","0","1",1.20000000000,"0","1","0",,,,"0","0","0","0","0","0","0","0","0","0","0",Dublin_BikeLife_210813_Jacobs,172.52212826600
1-2,,261.89170707000,SegregatedCycleLane,"1","0","1","0","1",3.70000000000,"0","1","0",,,,"0","0","0","0","0","0","0","0","0","0","0",Dublin_BikeLife_210813_Jacobs,261.89170707000
1-3,,108.07691230900,CycleLane,"0","0","0","0","1",1.90000000000,"0","1","0",,,,"0","0","0","0","0","0","0","0","0","0","0",Dublin_BikeLife_210813_Jacobs,108.07691230900
1-4,,78.61331794640,SegregatedCycleLane,"0","0","1","0","1",1.90000000000,"0","1","0",,,,"0","0","0","0","0","0","0","0","0","0","0",Dublin_BikeLife_210813_Jacobs,78.61331794640
1-5,,141.04801500200,BusLane,"0","0","0","0","0",3.70000000000,"0","1","0",,,,"0","0","0","0","0","0","0","0","0","0","0",Dublin_BikeLife_210813_Jacobs,141.04801500200
1-6,,306.66840488900,SegregatedCycleLane,"0","0","1","0","1",1.40000000000,"0","1","0",,,,"0","0","0","0","0","0","0","0","0","0","0",Dublin_BikeLife_210813_Jacobs,306.66840488900
1-7,,964.03897169000,BusLane,"0","0","0","0","0",3.60000000000,"0","1","0",,,,"0","0","0","0","0","0","0","0","0","0","0",Dublin_BikeLife_210813_Jacobs,964.03897169000
1-8,,133.44775997000,CycleLane,"0","0","0","0","1",1.40000000000,"0","1","0",,,,"0","0","0","0","0","0","0","0","0","0","0",Dublin_BikeLife_210813_Jacobs,133.44775997000
1-9,,131.41700849400,CycleLane,"0","0","0","0","0",2.75000000000,"0","1","0",,,,"0","0","0","0","0","0","0","0","0","0","0",Dublin_BikeLife_210813_Jacobs,131.41700849400
1-10,,169.86523587300,CycleLane,"0","0","0","0","0",1.35000000000,"0","0","0",,,,"0","0","0","0","0","0","0","0","0","0","0",Dublin_BikeLife_210813_Jacobs,169.86523587300
1-11,,98.13998425930,CycleLane,"0","0","0","0","1",1.80000000000,"0","0","0",,,,"0","0","0","0","0","0","0","0","0","0","0",Dublin_BikeLife_210813_Jacobs,98.13998425930
1-12,,121.55009097700,SegregatedCycleLane,"0","0","1","0","1",1.80000000000,"0","0","0",,,,"0","0","0","0","0","0","0","0","0","0","0",Dublin_BikeLife_210813_Jacobs,121.55009097700
1-13,,241.65274692900,CycleLane,"0","0","0","0","0",1.70000000000,"1","0","0",,,,"0","0","0","0","0","0","0","0","0","0","0",Dublin_BikeLife_210813_Jacobs,241.65274692900
1-14,,156.45138593500,BusLane,"0","0","0","0","0",2.90000000000,"0","1","0",,,,"0","0","0","0","0","0","0","0","0","0","0",Dublin_BikeLife_210813_Jacobs,156.45138593500
1-15,,589.37131469200,CycleLane,"0","0","0","0","0",1.80000000000,"1","0","0",,,,"0","0","0","0","0","0","0","0","0","0","0",Dublin_BikeLife_210813_Jacobs,589.37131469200
1-16,,628.18903730900,BusLane,"0","0","0","0","0",2.90000000000,"1","1","0",,,,"0","0","0","0","0","0","0","0","0","0","0",Dublin_BikeLife_210813_Jacobs,628.18903730900
1-17,,470.25055998400,SegregatedCycleLane,"1","1","1","0","0",2.40000000000,"1","0","0",,,,"0","0","0","0","0","0","0","0","0","0","0",Dublin_BikeLife_210813_Jacobs,470.25055998400
1-18,,51.70959764660,CycleLane,"0","0","0","0","0",1.20000000000,"0","0","0",,,,"0","0","0","0","0","0","0","0","0","0","0",Dublin_BikeLife_210813_Jacobs,51.70959764660
1-19,,133.32144781200,SegregatedCycleLane,"1","1","1","0","1",2.40000000000,"1","1","0",,,,"0","0","0","0","0","0","0","0","0","0","0",Dublin_BikeLife_210813_Jacobs,133.32144781200
1-20,,38.62993708550,CycleLane,"0","0","0","0","0",1.20000000000,"0","1","0",,,,"0","0","0","0","0","0","0","0","0","0","0",Dublin_BikeLife_210813_Jacobs,38.62993708550
1-21,,61.84982836670,SegregatedCycleLane,"1","1","1","0","1",2.40000000000,"1","1","0",,,,"0","0","0","0","0","0","0","0","0","0","0",Dublin_BikeLife_210813_Jacobs,61.84982836670
1-23,,52.09296729710,CycleLane,"0","0","0","0","1",1.50000000000,"0","0","0",,,,"0","0","0","0","0","0","0","0","0","0","0",Dublin_BikeLife_210813_Jacobs,52.09296729710
1-24,,65.51939718160,SegregatedCycleLane,"1","0","1","0","0",3.16000000000,"0","0","0",,,,"0","0","0","0","0","0","0","0","0","0","0",Dublin_BikeLife_210813_Jacobs,65.51939718160
1-26,,72.26622862350,SegregatedCycleLane,"0","1","0","0","0",2.50000000000,"1","0","0",,,,"0","0","0","0","0","0","0","0","0","0","0",Dublin_BikeLife_210813_Jacobs,72.26622862350
1-27,,84.61255009430,BusLane,"0","0","0","0","0",2.85000000000,"0","1","0",,,,"0","0","0","0","0","0","0","0","0","0","0",Dublin_BikeLife_210813_Jacobs,84.61255009430
1-28,,108.15867783900,SegregatedCycleLane,"0","1","0","0","0",1.50000000000,"1","1","0",,,,"0","0","0","0","0","0","0","0","0","0","0",Dublin_BikeLife_210813_Jacobs,108.15867783900
1-29,,153.02151988900,BusLane,"0","0","0","0","0",2.85000000000,"0","1","0",,,,"0","0","0","0","0","0","0","0","0","0","0",Dublin_BikeLife_210813_Jacobs,153.02151988900
1-30,,200.91996133300,SegregatedCycleLane,"0","1","0","0","0",1.50000000000,"1","1","0",,,,"0","0","0","0","0","0","0","0","0","0","0",Dublin_BikeLife_210813_Jacobs,200.91996133300
1-31,,63.41742962280,SegregatedCycleLane,"0","0","1","0","1",1.15000000000,"0","0","0",,,,"0","0","0","0","0","0","0","0","0","0","0",Dublin_BikeLife_210813_Jacobs,63.41742962280
1-34,,1002.29498907000,SegregatedCycleLane,"0","0","1","0","1",1.85000000000,"0","1","0",,,,"0","0","0","0","0","0","0","0","0","0","0",Dublin_BikeLife_210813_Jacobs,1002.29498907000
1-35,,411.00598013900,BusLane,"0","0","0","0","0",3.00000000000,"0","1","0",,,,"0","0","0","0","0","0","0","0","0","0","0",Dublin_BikeLife_210813_Jacobs,411.00598013900
1-36,,208.72179070600,BusLane,"0","0","0","0","0",3.40000000000,"0","1","0",,,,"0","0","0","0","0","0","0","0","0","0","0",Dublin_BikeLife_210813_Jacobs,208.72179070600
10-1,,59.85643613800,CycleLane,"0","0","0","0","1",1.20000000000,"0","0","0",,,,"0","0","0","0","0","0","0","0","0","0","0",Dublin_BikeLife_210813_Jacobs,59.85643613800
10-2,,86.39205897470,SegregatedCycleLane,"0","0","1","0","1",1.20000000000,"0","0","0",,,,"0","0","0","0","0","0","0","0","0","0","0",Dublin_BikeLife_210813_Jacobs,86.39205897470
10-3,,39.45950766730,SegregatedCycleLane,"1","0","1","0","1",1.20000000000,"0","0","0",,,,"0","0","0","0","0","0","0","0","0","0","0",Dublin_BikeLife_210813_Jacobs,39.45950766730
10-4,,287.24570058800,SegregatedCycleLane,"0","0","1","0","1",1.20000000000,"0","0","0",,,,"0","0","0","0","0","0","0","0","0","0","0",Dublin_BikeLife_210813_Jacobs,287.24570058800
10-5,,85.00774622220,SegregatedCycleLane,"0","0","1","0","1",1.20000000000,"0","0","0",,,,"0","0","0","0","0","0","0","0","0","0","0",Dublin_BikeLife_210813_Jacobs,85.00774622220
10-6,,68.86022143960,SegregatedCycleLane,"0","0","1","0","0",1.20000000000,"0","0","0",,,,"0","0","0","0","0","0","0","0","0","0","0",Dublin_BikeLife_210813_Jacobs,68.86022143960
10-7,,185.29077756400,CycleLane,"0","0","0","0","0",1.20000000000,"0","0","0",,,,"0","0","0","0","0","0","0","0","0","0","0",Dublin_BikeLife_210813_Jacobs,185.29077756400
11-1,,258.06532352800,SegregatedCycleLane,"0","0","1","0","1",1.30000000000,"0","0","0",,,,"0","0","0","0","0","0","0","0","0","0","0",Dublin_BikeLife_210813_Jacobs,258.06532352800
11-2,,154.43657822500,CycleLane,"0","0","0","0","1",1.30000000000,"0","0","0",,,,"0","0","0","0","0","0","0","0","0","0","0",Dublin_BikeLife_210813_Jacobs,154.43657822500
11-3,,123.68723101200,SharedUse,"0","1","0","0","0",1.30000000000,"1","0","0",,,,"0","0","0","0","0","0","0","0","0","0","0",Dublin_BikeLife_210813_Jacobs,123.68723101200
11-4,,64.24262146390,CycleLane,"0","0","0","0","0",1.20000000000,"0","1","0",,,,"0","0","0","0","0","0","0","0","0","0","0",Dublin_BikeLife_210813_Jacobs,64.24262146390
11-5,,69.38871516190,CycleLane,"0","0","0","0","1",1.20000000000,"0","1","0",,,,"0","0","0","0","0","0","0","0","0","0","0",Dublin_BikeLife_210813_Jacobs,69.38871516190
11-6,,72.74805199090,SegregatedCycleLane,"0","0","1","0","1",1.20000000000,"0","1","0",,,,"0","0","0","0","0","0","0","0","0","0","0",Dublin_BikeLife_210813_Jacobs,72.74805199090
11-7,,53.40027371550,CycleLane,"0","0","0","0","1",1.20000000000,"0","1","0",,,,"0","0","0","0","0","0","0","0","0","0","0",Dublin_BikeLife_210813_Jacobs,53.40027371550
11-8,,61.79259944240,BusLane,"0","0","0","0","0",0.00000000000,"0","1","0",,,,"0","0","0","0","0","0","0","0","0","0","0",Dublin_BikeLife_210813_Jacobs,61.79259944240
11-9,,166.83445509600,SharedUse,"0","1","0","0","1",1.20000000000,"1","1","0",,,,"0","0","0","0","0","0","0","0","0","0","0",Dublin_BikeLife_210813_Jacobs,166.83445509600
13-1,,122.11570890700,SegregatedCycleLane,"0","0","1","0","0",1.20000000000,"0","0","0",,,,"0","0","0","0","0","0","0","0","0","0","0",Dublin_BikeLife_210813_Jacobs,122.11570890700
14-1,,315.13012496100,SegregatedCycleLane,"0","0","1","0","1",1.40000000000,"0","0","0",,,,"0","0","0","0","0","0","0","0","0","0","0",Dublin_BikeLife_210813_Jacobs,315.13012496100
15-1,,81.73185481340,SegregatedCycleLane,"0","0","1","0","0",1.30000000000,"0","1","0",,,,"0","0","0","0","0","0","0","0","0","0","0",Dublin_BikeLife_210813_Jacobs,81.73185481340
15-2,,704.70306747300,CycleLane,"0","0","0","0","0",1.30000000000,"0","1","0",,,,"0","0","0","0","0","0","0","0","0","0","0",Dublin_BikeLife_210813_Jacobs,704.70306747300
16-2,,166.13038200700,SegregatedCycleLane,"0","0","1","0","1",1.20000000000,"0","0","0",,,,"0","0","0","0","0","0","0","0","0","0","0",Dublin_BikeLife_210813_Jacobs,166.13038200700
17-1,,224.06712020600,SegregatedCycleLane,"0","0","1","0","1",1.70000000000,"0","1","0",,,,"0","0","0","0","0","0","0","0","0","0","0",Dublin_BikeLife_210813_Jacobs,224.06712020600
17-2,,119.33555290200,SegregatedCycleLane,"0","0","1","0","1",2.10000000000,"0","0","0",,,,"0","0","0","0","0","0","0","0","0","0","0",Dublin_BikeLife_210813_Jacobs,119.33555290200
18-1,,65.76799553900,BusLane,"0","0","0","0","0",0.00000000000,"0","1","0",,,,"0","0","0","0","0","0","0","0","0","0","0",Dublin_BikeLife_210813_Jacobs,65.76799553900
18-2,,41.20789856110,CycleLane,"0","0","0","0","0",1.40000000000,"0","1","0",,,,"0","0","0","0","0","0","0","0","0","0","0",Dublin_BikeLife_210813_Jacobs,41.20789856110
18-3,,16.23046293180,SegregatedCycleLane,"0","0","1","0","1",1.40000000000,"0","1","0",,,,"0","0","0","0","0","0","0","0","0","0","0",Dublin_BikeLife_210813_Jacobs,16.23046293180
18-4,,34.41403113140,SegregatedCycleLane,"1","0","1","0","1",1.70000000000,"0","1","0",,,,"0","0","0","0","0","0","0","0","0","0","0",Dublin_BikeLife_210813_Jacobs,34.41403113140
19-1,,16.54727887210,CycleLane,"0","0","0","0","1",1.40000000000,"0","0","0",,,,"0","0","0","0","0","0","0","0","0","0","0",Dublin_BikeLife_210813_Jacobs,16.54727887210
2-1,,103.19394241000,CycleLane,"0","0","0","0","0",1.63000000000,"0","0","0",,,,"0","0","0","0","0","0","0","0","0","0","0",Dublin_BikeLife_210813_Jacobs,103.19394241000
2-2,,159.11332404200,SegregatedCycleLane,"0","0","1","0","1",1.63000000000,"0","1","0",,,,"0","0","0","0","0","0","0","0","0","0","0",Dublin_BikeLife_210813_Jacobs,159.11332404200
2-3,,93.61044865100,CycleLane,"0","0","0","0","0",1.70000000000,"0","1","0",,,,"0","0","0","0","0","0","0","0","0","0","0",Dublin_BikeLife_210813_Jacobs,93.61044865100
2-5,,290.95527246800,SegregatedCycleLane,"0","0","1","0","1",1.40000000000,"0","0","0",,,,"0","0","0","0","0","0","0","0","0","0","0",Dublin_BikeLife_210813_Jacobs,290.95527246800
2-6,,49.46690368380,CycleLane,"0","0","0","0","0",1.70000000000,"0","0","0",,,,"0","0","0","0","0","0","0","0","0","0","0",Dublin_BikeLife_210813_Jacobs,49.46690368380
21-1,,212.53756761000,SegregatedCycleLane,"0","0","1","0","1",1.40000000000,"0","0","0",,,,"0","0","0","0","0","0","0","0","0","0","0",Dublin_BikeLife_210813_Jacobs,212.53756761000
21-2,,67.19367271120,CycleLane,"0","0","0","0","0",1.40000000000,"0","0","0",,,,"0","0","0","0","0","0","0","0","0","0","0",Dublin_BikeLife_210813_Jacobs,67.19367271120
21-3,,291.02223072700,SegregatedCycleLane,"0","0","1","0","0",1.40000000000,"0","0","0",,,,"0","0","0","0","0","0","0","0","0","0","0",Dublin_BikeLife_210813_Jacobs,291.02223072700
