AtcoCode,PlateCode,CommonName,CommonNameGA,ShortCommonName,ShortCommonNameGA,Street,NptgLocalityRef,Easting,Northing,Latitude,Longitude,StopType,BusStopType,TimingStatus,CompassPoint,StopAreaRef,AdministrativeAreaRef,isActive
7010PB003859,,Culmore Point,,,,Culmore Road,E0701003,646370,922263,55.0457122946622,-7.27444006989295,BCT,CUS,OTH,N,,701,TRUE
7010PB003860,,Culmore Point,,,,Culmore Road,E0701003,646379,922262,55.0457024717046,-7.2742994202573,BCT,CUS,OTH,N,,701,TRUE
7010PB003857,,Ballymagrorty,B Mhic Robhartaigh,Ballymagrorty,B Mhic Robhartaigh,,E0701003,641057,920841,55.0334043455972,-7.35777175065622,BCT,CUS,OTH,NW,,701,TRUE
7010PB003858,,Coshquin,,,,,E0701003,641054,920860,55.0335752859269,-7.35781594469228,BCT,CUS,OTH,N,,701,TRUE
7010B158241,158241,Magee Campus,Campas Mhig Aoidh,Magee Campus,Campas Mhig Aoidh,,E0701001,643389,917643,55.0044762846992,-7.3217817014213,BCT,CUS,OTH,N,,701,TRUE
701000007,,Foyleside Coach Park,,,,,E0701001,643685,916491,54.9941010639017,-7.31733099979148,BCT,CUS,OTH,N,,701,TRUE
701000004,,Dungiven,Dún Geimhin,Dungiven,Dún Geimhin,,E0701001,669220,909127,54.9250578570978,-6.92013363209514,BCT,MKD,OTH,S,,701,TRUE
701000005,,Dungiven,Dún Geimhin,Dungiven,Dún Geimhin,,E0701001,669288,909066,54.9245004690647,-6.91908769997222,BCT,MKD,OTH,N,,701,TRUE
701000003,,Guild Hall,Halla Guild,Guild Hall,Halla Guild,,E0701001,643562,916870,54.9975166995346,-7.31919533637797,BCT,MKD,OTH,N,,701,TRUE
701000002,,Patrick Street,Sráid Phádraig,Patrick Street,Sráid Phádraig,,E0701001,643337,917142,54.9999799221629,-7.32267029056076,BCT,MKD,OTH,N,,701,TRUE
701000006,,Drumahow Park & Ride,,,,,E0701001,646039,914700,54.9777991963681,-7.28083570965028,BCT,CUS,OTH,N,,701,TRUE
7010B158131,158131,Ulsterbus Depot,Busáras Ulsterbus,Ulsterbus Depot,Busáras Ulsterbus,,E0701001,643648,916772,54.9966287583853,-7.31786633503893,BCT,MKD,OTH,N,,701,TRUE
701000001,,Water Street,Sráid an Uisce,Water Street,Sráid an Uisce,,E0701001,643683,916710,54.9960686943561,-7.31732885231964,BCT,CUS,OTH,N,,701,TRUE
702000003323,,Sprucefield Shopping Centre,,,,,E0702002,725347,861587,54.4872339963258,-6.06539310865938,BCT,MKD,OTH,S,,702,FALSE
7020B158161,158161,Sprucefield,Sprucefield,Sprucefield,Sprucefield,,E0702002,725309,861587,54.4872433773613,-6.06597923051899,BCT,MKD,OTH,W,,702,FALSE
702000001,,Belfast International Airport,,,,,E0702001,714974,880823,54.6624429322079,-6.21787736086132,BCT,CUS,OTH,N,,702,TRUE
702000006268,,Downpatrick,Dún Pádraig,Downpatrick,Dún Pádraig,,E0702002,748321,844302,54.3258546353686,-5.7197307312641,BCT,CUS,OTH,N,,702,TRUE
702000007262,,DNPTR,,,,,E0702002,748321,844302,54.3258546353686,-5.7197307312641,BCT,CUS,OTH,N,,702,TRUE
70200B156091,156091,Glengall Street,Sráid Ghleann Gall,Glengall Street,Sráid Ghleann Gall,,E0702001,733300,873824,54.5950880606977,-5.93719485012835,BCT,MKD,OTH,N,,702,TRUE
